fps
143
144
139
140
139
144
144
140
143
144
144
144
144
144
144
143
144
143
143
143
144
144
144
144
143
144
144
143
142
143
144
143
143
144
144
144
144
141
144
144
143
144
144
143
144
143
143
141
143
144
144
144
143
144
144
144
144
144
143
143
144
143
144
143
143
144
143
143
144
144
143
143
143
143
144
143
143
143
143
143
144
143
143
143
143
143
143
143
142
142
143
143
142
143
143
143
143
140
143
143
143
143
143
143
143
143
143
142
143
143
143
143
143
143
143
143
143
143
143
143
143
143
143
143
143
143
143
143
143
143
143
143
143
143
143
143
143
143
143
143
143
143
143
143
143
143
143
143
140
141
143
142
142
143
143
143
143
141
143
143
143
143
143
143
143
143
144
141
143
143
143
143
143
143
143
143
143
143
143
143
143
143
143
143
143
143
143
143
142
144
143
143
143
143
143
143
143
143
143
143
143
143
143
143
144
144
143
143
139
142
143
143
142
143
142
144
144
140
143
143
143
143
144
144
144
143
143
142
143
144
144
144
143
144
144
144
143
143
143
144
143
144
144
143
143
143
144
143
143
143
143
143
143
143
144
143
143
144
143
144
144
144
143
143
144
144
144
143
141
143
143
143
143
144
144
143
144
140
143
143
143
143
143
143
144
144
143
141
143
144
144
144
144
143
142
144
144
144
143
